,reps,paulis,entanglement,density_diff,densities,pauli_quantity,pauli_diversity,precision,recall,f1-score
19,2,"['YX', 'ZX']",linear,0.007121518253098091,"(0.4186797335205236, 0.4331073227093056, 0.46177794840428377)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
39,3,"['ZY', 'ZX']",linear,0.006932975050718215,"(0.39297380938008797, 0.4076670304576775, 0.43622620163670345)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
11,3,"['YZ', 'XZ']",linear,0.006932975050718215,"(0.39297380938008797, 0.4076670304576775, 0.43622620163670345)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
4,2,"['ZX', 'XY']",linear,0.006869846891391751,"(0.4060577317852425, 0.4130337505270298, 0.43374946305160056)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
4,2,"['XZ', 'YX']",linear,0.006869846891391751,"(0.4060577317852425, 0.4130337505270298, 0.43374946305160056)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
15,2,"['YX', 'XZ']",linear,0.006869846891391751,"(0.4060577317852425, 0.4130337505270298, 0.43374946305160056)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
41,2,"['XY', 'ZX']",linear,0.006869846891391751,"(0.4060577317852425, 0.4130337505270298, 0.43374946305160056)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
8,2,"['ZX', 'YZ']",linear,0.00675210876231902,"(0.481469087186589, 0.5010735505122229, 0.5341822313624949)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
43,2,"['YZ', 'ZX']",linear,0.00675210876231902,"(0.481469087186589, 0.5010735505122229, 0.5341822313624949)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
8,2,"['XZ', 'ZY']",linear,0.00675210876231902,"(0.481469087186589, 0.5010735505122229, 0.5341822313624949)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
17,2,"['ZY', 'XZ']",linear,0.00675210876231902,"(0.481469087186589, 0.5010735505122229, 0.5341822313624949)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
24,2,"['XX', 'XY']",linear,0.006684369447313543,"(0.39062719271285506, 0.39298880812229275, 0.40871916242635753)",4,2,0.5,0.5,0.4375
26,2,"['XX', 'YX']",linear,0.006684369447313543,"(0.39062719271285506, 0.39298880812229275, 0.40871916242635753)",4,2,0.5,0.5,0.4375
35,2,"['XY', 'XX']",linear,0.0063560756167350685,"(0.3946095549722037, 0.40855081371977636, 0.4352042237008191)",4,2,0.5,0.5,0.4375
13,2,"['YX', 'XX']",linear,0.0063560756167350685,"(0.3946095549722037, 0.40855081371977636, 0.4352042237008191)",4,2,0.5,0.5,0.4375
28,2,"['ZZ', 'XY']",linear,0.006236963971032516,"(0.35185532795978236, 0.3479125952461691, 0.3564437904746208)",4,3,0.5,0.5,0.4375
43,2,"['XY', 'ZZ']",linear,0.006236963971032516,"(0.35185532795978236, 0.3479125952461691, 0.3564437904746208)",4,3,0.5,0.5,0.4375
21,2,"['YX', 'ZZ']",linear,0.006236963971032516,"(0.35185532795978236, 0.3479125952461691, 0.3564437904746208)",4,3,0.5,0.5,0.4375
30,2,"['ZZ', 'YX']",linear,0.006236963971032516,"(0.35185532795978236, 0.3479125952461691, 0.3564437904746208)",4,3,0.5,0.5,0.4375
7,3,"['XY', 'XX']",linear,0.0060582954438170855,"(0.38190220706413797, 0.38893608337353713, 0.4080865505705705)",4,2,0.5,0.5,0.48571428571428577
31,3,"['YX', 'XX']",linear,0.0060582954438170855,"(0.38190220706413797, 0.38893608337353713, 0.4080865505705705)",4,2,0.5,0.5,0.48571428571428577
34,2,"['ZZ', 'ZY']",linear,0.0059279350487767,"(0.4041057739631215, 0.41303442475791446, 0.4338189456502609)",4,2,0.5,0.5,0.4375
37,2,"['YZ', 'XX']",linear,0.0059279350487767,"(0.4041057739631215, 0.41303442475791446, 0.4338189456502609)",4,3,0.5,0.5,0.4375
15,2,"['ZY', 'XX']",linear,0.0059279350487767,"(0.4041057739631215, 0.41303442475791446, 0.4338189456502609)",4,3,0.5,0.5,0.4375
28,2,"['XX', 'YZ']",linear,0.0059279350487767,"(0.4041057739631215, 0.41303442475791446, 0.4338189456502609)",4,3,0.5,0.5,0.4375
32,2,"['ZZ', 'YZ']",linear,0.0059279350487767,"(0.4041057739631215, 0.41303442475791446, 0.4338189456502609)",4,2,0.5,0.5,0.4375
30,2,"['XX', 'ZY']",linear,0.0059279350487767,"(0.4041057739631215, 0.41303442475791446, 0.4338189456502609)",4,3,0.5,0.5,0.4375
2,3,"['YY', 'YZ']",linear,0.0057811583211355155,"(0.3776952307958584, 0.37724752659472544, 0.3883621390358635)",4,2,0.5,0.5,0.4375
4,3,"['YY', 'ZY']",linear,0.0057811583211355155,"(0.3776952307958584, 0.37724752659472544, 0.3883621390358635)",4,2,0.5,0.5,0.4375
2,1,"['ZY', 'YZ']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
1,3,['ZZ'],linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",2,1,0.4142857142857143,0.4166666666666667,0.41258741258741255
31,2,"['XX', 'ZZ']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
25,2,['YY'],linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",2,1,0.4142857142857143,0.4166666666666667,0.41258741258741255
4,1,"['ZY', 'ZY']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
17,1,"['ZZ', 'ZZ']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,1,0.4142857142857143,0.4166666666666667,0.41258741258741255
35,2,"['ZZ', 'ZZ']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,1,0.4142857142857143,0.4166666666666667,0.41258741258741255
37,1,"['ZX', 'ZX']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
24,1,"['YZ', 'YZ']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
45,3,"['XX', 'YY']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
41,3,"['XX', 'XX']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,1,0.4142857142857143,0.4166666666666667,0.41258741258741255
26,1,"['YZ', 'ZY']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
11,1,"['YY', 'YY']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,1,0.4142857142857143,0.4166666666666667,0.41258741258741255
27,2,"['ZZ', 'XX']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
44,1,"['YX', 'YX']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
18,1,"['XY', 'XY']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
23,2,"['YY', 'Y']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",3,1,0.4142857142857143,0.4166666666666667,0.41258741258741255
43,3,"['YY', 'XX']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
31,1,"['XZ', 'XZ']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
3,2,"['Y', 'YY']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",3,1,0.4142857142857143,0.4166666666666667,0.41258741258741255
23,2,"['XX', 'XX']",linear,0.005189231185427912,"(0.49936335961957806, 0.494900756823733, 0.5008166163987438)",4,1,0.4142857142857143,0.4166666666666667,0.41258741258741255
13,3,"['YZ', 'YY']",linear,0.005102717696276959,"(0.3871266313163287, 0.3875225353454616, 0.39812387476714844)",4,2,0.5,0.5,0.4375
37,3,"['ZY', 'YY']",linear,0.005102717696276959,"(0.3871266313163287, 0.3875225353454616, 0.39812387476714844)",4,2,0.5,0.5,0.4375
